"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 14 00:14:08 UTC 2025","Mon Apr 14 00:14:09 UTC 2025","831","tests.register","test_02_register_partner","","","","test_register_partner_positive[authorize_partner-200]","Тест: позитивные тесты для регистрации партнера вручную"
"passed","Mon Apr 14 00:14:19 UTC 2025","Mon Apr 14 00:14:19 UTC 2025","534","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter0-sort0-search1-pagination0-authorize_partner]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Mon Apr 14 00:14:24 UTC 2025","Mon Apr 14 00:14:25 UTC 2025","495","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter0-sort1-search0-pagination0-authorize_client]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Mon Apr 14 00:13:40 UTC 2025","Mon Apr 14 00:13:40 UTC 2025","424","tests.delivery","test_02_get_delivery_address","","","","test_get_delivery_addresses_invalid_pagination[invalid_pagination0-authorize_admin]","Негативные тесты: передача некорректных параметров пагинации"
"passed","Mon Apr 14 00:17:20 UTC 2025","Mon Apr 14 00:17:20 UTC 2025","489","tests.tickets","test_10_send_message_to_ticket","","","","test_send_message_unauthorized","Проверяем отправку сообщений без авторизации"
"passed","Mon Apr 14 00:12:38 UTC 2025","Mon Apr 14 00:12:38 UTC 2025","733","tests.account","test_0_funds_transfer_withdrawal_info","","","","test_get_withdrawal_info_positive[authorize_admin-403]","Позитивные тесты на получение информации о выводе средств"
"passed","Mon Apr 14 00:14:27 UTC 2025","Mon Apr 14 00:14:27 UTC 2025","510","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter0-sort1-search1-pagination0-authorize_client]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Mon Apr 14 00:16:29 UTC 2025","Mon Apr 14 00:16:29 UTC 2025","410","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_admin-attachments1-QuestionsAboutProducts]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_pass_change","","","","test_change_password_positive[authorize_partner-payload0]","Позитивные тесты на изменение пароля"
"passed","Mon Apr 14 00:16:40 UTC 2025","Mon Apr 14 00:16:40 UTC 2025","453","tests.tickets","test_04_create_ticket","","","","test_create_ticket_invalid_request_type[authorize_partner-invalid_request_type-400]","Негативный тест: попытка создания тикета с неверным типом request_type"
"passed","Mon Apr 14 00:17:09 UTC 2025","Mon Apr 14 00:17:09 UTC 2025","158","tests.tickets","test_09_get_ticket_messages","","","","test_get_ticket_messages_invalid_id_format[-1]","Негативный тест: запрос с некорректным ID (строка, спецсимволы, пустое значение)"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_history","","","","test_get_history_positive[authorize_client-payload1]","Позитивные тесты на получение истории аккаунта"
"passed","Mon Apr 14 00:15:46 UTC 2025","Mon Apr 14 00:15:47 UTC 2025","550","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_client-attachments1-QuestionsAboutInternationalDelivery]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_token","","","","test_add_token_positive[authorize_partner-payload1]","Позитивные тесты на добавление токена"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_list_csv","","","","test_get_account_list_csv_positive[authorize_admin-payload0]","Позитивные тесты на выгрузку структуры партнеров в CSV"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_history_group_volumes_admin","","","","test_get_group_volumes_history_admin_positive[authorize_partner-payload0]","Позитивные тесты на получение истории начисления групповых объемов для админа"
"passed","Mon Apr 14 00:14:34 UTC 2025","Mon Apr 14 00:14:35 UTC 2025","517","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter1-sort0-search0-pagination1-authorize_partner]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Mon Apr 14 00:16:09 UTC 2025","Mon Apr 14 00:16:09 UTC 2025","486","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_partner-attachments1-QuestionsAboutTheWorkOfTheStructureAndMentors]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Mon Apr 14 00:16:38 UTC 2025","Mon Apr 14 00:16:38 UTC 2025","461","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_admin-attachments2-ReceivingDefectiveProducts]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_history_group_volumes","","","","test_get_group_volumes_history_positive[authorize_partner-payload0]","Позитивные тесты на получение истории начисления групповых объемов"
"passed","Mon Apr 14 00:17:04 UTC 2025","Mon Apr 14 00:17:05 UTC 2025","911","tests.tickets","test_09_get_ticket_messages","","","","test_get_ticket_messages_positive[authorize_client]","Позитивный тест: успешное получение списка сообщений тикета"
"passed","Mon Apr 14 00:16:38 UTC 2025","Mon Apr 14 00:16:38 UTC 2025","483","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_admin-attachments2-ReceivingProductsShortage]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_history_group_volumes","","","","test_get_group_volumes_history_positive[authorize_partner-payload1]","Позитивные тесты на получение истории начисления групповых объемов"
"passed","Mon Apr 14 00:16:22 UTC 2025","Mon Apr 14 00:16:22 UTC 2025","412","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_admin-attachments0-QuestionsAboutInternationalDelivery]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Mon Apr 14 00:16:42 UTC 2025","Mon Apr 14 00:16:43 UTC 2025","399","tests.tickets","test_04_create_ticket","","","","test_create_ticket_invalid_request_type[authorize_admin-None-200]","Негативный тест: попытка создания тикета с неверным типом request_type"
